name,handedness,height,weight,avg,HR
Adolfo Phillips,R,73,175,0.247,59
Al Bumbry,L,68,170,0.281,54
Al Cowens,R,73,197,0.27,108
Al Downing,R,71,175,0.127,2
Al Ferrara,R,73,200,0.259,51
Al Gallagher,R,72,180,0.263,11
Al Jones,R,76,210,0.0,0
Al Lachowicz,R,75,198,0.0,0
Al Luplow,L,70,175,0.235,33
Al Oliver,L,72,195,0.303,219
Al Weis,B,72,160,0.21899999999999997,7
Al Woods,L,75,190,0.271,35
Alan Ashby,B,74,185,0.245,90
Alan Bannister,R,71,170,0.27,19
Alan Knicely,R,72,190,0.213,12
Alan Wiggins,B,74,160,0.259,5
Alan Wirth,R,76,190,0.0,0
Albert Hall,B,71,155,0.251,5
Albert Williams,R,76,190,0.0,0
Alex Johnson,R,72,205,0.28800000000000003,78
Alex Sanchez,R,74,185,0.0,0
Alex Trevino,R,70,165,0.249,23
Alfredo Martinez,R,75,185,0.0,0
Allan Ramirez,R,70,180,0.0,0
Amos Otis,R,71,165,0.27699999999999997,193
Andre Robertson,R,70,155,0.251,5
Andre Thornton,R,75,200,0.254,253
Andres Mora,R,72,180,0.223,27
Andres Thomas,R,73,170,0.23399999999999999,42
Andy Beene,R,75,205,0.0,0
Andy Etchebarren,R,73,190,0.235,49
Andy Kosco,R,75,205,0.23600000000000002,73
Andy Messersmith,R,73,200,0.17,5
Andy Replogle,R,77,205,0.0,0
Angel Mangual,R,70,178,0.245,22
Angel Moreno,L,69,165,0.0,0
Angel Salazar,R,72,180,0.212,2
Art Howe,R,74,190,0.26,43
Art Shamsky,L,73,168,0.253,68
Aurelio Rodriguez,R,70,180,0.237,124
Bake McBride,L,74,190,0.299,63
Barbaro Garbey,R,70,170,0.267,11
Barry Bonnell,R,75,190,0.272,56
Barry Cort,R,77,210,0.0,0
Barry Evans,R,73,180,0.251,2
Barry Foote,R,75,205,0.23,57
Barry Raziano,B,70,175,0.0,0
Ben Callahan,R,79,230,0.0,0
Ben Oglivie,L,74,160,0.273,235
Benny Ayala,R,73,185,0.251,38
Bernie Allen,L,72,175,0.239,73
Bernie Carbo,L,71,173,0.264,96
Bert Bradley,B,73,190,0.0,0
Bert Campaneris,R,70,160,0.259,79
